HGNC symbol;MODE;median (nearest phylostratum)
MIR4522;#N/A;19.2
MIR4523;#N/A;19.2
MIR4526;#N/A;19.2
MIR4527;#N/A;19.2
MIR4529;#N/A;19.2
MIR4535;#N/A;19.2
MIR454;#N/A;12
MIR455;#N/A;12
MIR4633;#N/A;19.2
MIR4635;#N/A;19.2
MIR4638;#N/A;19.2
MIR4643;#N/A;19.2
MIR4644;#N/A;19.2
MIR4648;#N/A;19.2
MIR4653;#N/A;19.2
MIR4654;#N/A;19.2
MIR4655;#N/A;19.2
MIR4657;#N/A;17
MIR4661;#N/A;19.2
MIR4662B;#N/A;19.2
MIR4664;#N/A;19.2
MIR4665;#N/A;19.2
MIR4666A;#N/A;19.2
MIR4667;#N/A;19.1
MIR4670;#N/A;19.2
MIR4671;#N/A;19.2
MIR4672;#N/A;19.2
MIR4673;#N/A;19.2
MIR4677;#N/A;19.1
MIR4679-2;#N/A;19.2
MIR4680;#N/A;19.2
MIR4681;#N/A;19.2
MIR4682;#N/A;19.2
MIR4686;#N/A;19.2
MIR4688;#N/A;19.2
MIR4692;#N/A;19.2
MIR4693;#N/A;19.2
MIR4696;#N/A;19.2
MIR4699;#N/A;19.2
MIR4700;#N/A;19.2
MIR4703;#N/A;19.2
MIR4705;#N/A;19.2
MIR4706;#N/A;19.2
MIR4707;#N/A;19.2
MIR4708;#N/A;19.2
MIR4710;#N/A;19.2
MIR4712;#N/A;19.2
MIR4718;#N/A;19.2
MIR4723;#N/A;19.2
MIR4726;#N/A;19.2
MIR4727;#N/A;19.2
MIR4728;#N/A;19.2
MIR4729;#N/A;19.2
MIR4733;#N/A;19.2
MIR4735;#N/A;19.2
MIR4736;#N/A;19.1
MIR4743;#N/A;19.2
MIR4744;#N/A;19.2
MIR4751;#N/A;19.2
MIR4752;#N/A;19.1
MIR4759;#N/A;19.2
MIR4760;#N/A;19.2
MIR4762;#N/A;19.2
MIR4766;#N/A;19.2
MIR4768;#N/A;19.2
MIR4769;#N/A;19.2
MIR4770;#N/A;19.2
MIR4771-1;#N/A;19.2
MIR4771-2;#N/A;19.2
MIR4773-2;#N/A;19.2
MIR4774;#N/A;19.2
MIR4776-2;#N/A;19.2
MIR4779;#N/A;19.2
MIR4780;#N/A;19.2
MIR4782;#N/A;19.2
MIR4784;#N/A;19.2
MIR4785;#N/A;19.1
MIR4786;#N/A;19.2
MIR4787;#N/A;19.2
MIR4790;#N/A;19.1
MIR4793;#N/A;19.2
MIR4800;#N/A;19.1
MIR485;#N/A;19.1
MIR487B;#N/A;17
MIR488;#N/A;17
MIR489;#N/A;12
MIR490;#N/A;14
MIR491;#N/A;17
MIR493;#N/A;19.1
MIR494;#N/A;17
MIR495;#N/A;19.1
MIR496;#N/A;17
MIR498;#N/A;19.2
MIR499A;12;12
MIR5000;#N/A;19.2
MIR5003;#N/A;19.2
MIR5004;#N/A;19.1
MIR5006;#N/A;19.2
MIR5008;#N/A;19.2
MIR500A;#N/A;17
MIR500B;#N/A;17
MIR501;#N/A;18
MIR5010;#N/A;19.2
MIR502;#N/A;17
MIR503;#N/A;17
MIR503HG;#N/A;17
MIR504;#N/A;17
MIR5047;#N/A;19.1
MIR505;#N/A;17
MIR506;#N/A;19.2
MIR507;#N/A;17
MIR508;#N/A;17
MIR5090;#N/A;19.2
MIR509-1;#N/A;19.2
MIR509-2;#N/A;19.2
MIR509-3;#N/A;19.2
MIR5096;#N/A;19.2
MIR510;#N/A;17
MIR511;#N/A;17
MIR512-1;#N/A;17
MIR512-2;#N/A;17
MIR513A1;#N/A;19.2
MIR513A2;#N/A;19.2
MIR513B;#N/A;19.2
MIR513C;#N/A;19.2
MIR514A1;#N/A;17
MIR514A2;#N/A;17
MIR514A3;#N/A;17
MIR515-1;#N/A;19.2
MIR515-2;#N/A;19.2
MIR516A1;#N/A;19.2
MIR516A2;#N/A;19.2
MIR516B1;#N/A;19.2
MIR516B2;#N/A;19.2
MIR517A;#N/A;19.2
MIR517B;#N/A;19.2
MIR517C;#N/A;19.2
MIR5186;#N/A;19.2
MIR5187;#N/A;19.2
MIR518A1;#N/A;19.2
MIR518A2;#N/A;19.2
MIR518B;#N/A;19.2
MIR518E;#N/A;19.2
MIR518F;#N/A;19.2
MIR5193;#N/A;19.2
MIR5194;#N/A;19.2
MIR5196;#N/A;19.2
MIR519A1;#N/A;19.2
MIR519B;#N/A;19.2
MIR519C;#N/A;19.2
MIR519D;#N/A;19.2
MIR519E;#N/A;19.2
MIR520A;#N/A;19.2
MIR520B;#N/A;19.2
MIR520C;#N/A;19.2
MIR520D;#N/A;19.2
MIR520E;#N/A;19.2
MIR520G;#N/A;19.2
MIR520H;#N/A;19.2
MIR521-1;#N/A;19.2
MIR521-2;#N/A;19.2
MIR525;#N/A;19.2
MIR526A1;#N/A;19.2
MIR526A2;#N/A;19.2
MIR526B;#N/A;19.2
MIR527;#N/A;19.2
MIR532;#N/A;17
MIR539;#N/A;17
MIR541;#N/A;17
MIR542;#N/A;17
MIR543;#N/A;17
MIR544A;#N/A;17
MIR544B;#N/A;17
MIR545;#N/A;19.1
MIR548A1;#N/A;19.2
MIR548A2;#N/A;19.2
MIR548AA1;#N/A;19.2
MIR548AA2;#N/A;19.2
MIR548AB;#N/A;19.2
MIR548AC;#N/A;19.2
MIR548AD;#N/A;19.2
MIR548AE1;#N/A;19.2
MIR548AE2;#N/A;19.2
MIR548AG1;#N/A;19.2
MIR548AG2;#N/A;19.2
MIR548AI;#N/A;19.2
MIR548AJ1;#N/A;19.2
MIR548AK;#N/A;19.2
MIR548AL;#N/A;19.2
MIR548AM;#N/A;19.2
MIR548AN;#N/A;19.2
MIR548AO;#N/A;19.2
MIR548AR;#N/A;19.2
MIR548AS;#N/A;19.2
MIR548AT;#N/A;19.2
MIR548AV;#N/A;19.2
MIR548AW;#N/A;19.2
MIR548B;#N/A;19.2
MIR548BA;#N/A;19.2
MIR548D2;#N/A;19.2
MIR548E;#N/A;19.2
MIR548F1;#N/A;19.2
MIR548F2;#N/A;19.2
MIR548F3;#N/A;19.2
MIR548F4;#N/A;19.2
MIR548F5;#N/A;19.2
MIR548G;#N/A;19.2
MIR548H1;#N/A;19.2
MIR548H2;#N/A;19.2
MIR548H3;#N/A;19.2
MIR548H4;#N/A;19.2
MIR548H5;#N/A;19.2
MIR548I1;#N/A;19.2
MIR548I2;#N/A;19.2
MIR548I3;#N/A;19.2
MIR548I4;#N/A;19.2
MIR548J;#N/A;19.2
MIR548K;#N/A;19.2
MIR548L;#N/A;19.2
MIR548M;#N/A;19.2
MIR548N;#N/A;19.2
MIR548P;#N/A;19.2
MIR548Q;#N/A;19.2
MIR548S;#N/A;19.2
MIR548T;#N/A;19.2
MIR548U;#N/A;19.2
MIR548V;#N/A;19.2
MIR548W;#N/A;19.2
MIR548X;#N/A;19.2
MIR548X2;#N/A;19.2
MIR548Z;#N/A;19.2
MIR549A;#N/A;19.2
MIR550A1;#N/A;19.2
MIR550A2;#N/A;19.2
MIR550A3;#N/A;19.2
MIR551A;#N/A;15.2
MIR551B;#N/A;14
MIR552;#N/A;19.2
MIR553;#N/A;19.2
MIR554;#N/A;19.2
MIR555;#N/A;19.2
MIR556;#N/A;19.2
MIR557;#N/A;19.2
MIR5571;#N/A;19.2
MIR5579;#N/A;19.2
MIR558;#N/A;19.2
MIR5580;#N/A;19.2
MIR5583-2;#N/A;19.2
MIR5584;#N/A;19.2
MIR5585;#N/A;19.2
MIR5589;#N/A;19.2
MIR5590;#N/A;19.2
MIR562;#N/A;17
MIR563;#N/A;17
MIR566;#N/A;19.2
MIR567;#N/A;19.2
MIR5687;#N/A;19.2
MIR569;#N/A;19.2
MIR5690;#N/A;19.2
MIR5692A1;#N/A;19.2
MIR5692C1;#N/A;19.2
MIR5692C2;#N/A;19.2
MIR570;#N/A;19.2
MIR5700;#N/A;19.1
MIR5702;#N/A;19.2
MIR5703;#N/A;19.1
MIR5704;#N/A;19.2
MIR5705;#N/A;19.2
MIR5707;#N/A;19.2
MIR5708;#N/A;19.2
MIR573;#N/A;19.2
MIR5739;#N/A;19.2
MIR574;#N/A;12
MIR575;#N/A;19.2
MIR576;#N/A;17
MIR577;#N/A;19.2
MIR578;#N/A;17
MIR579;#N/A;19.2
MIR580;#N/A;19.2
MIR581;#N/A;19.2
MIR582;#N/A;17
MIR583;#N/A;19.2
MIR584;#N/A;17
MIR586;#N/A;19.2
MIR587;#N/A;19.2
MIR588;#N/A;19.2
MIR589;#N/A;17
MIR590;#N/A;15.1
MIR592;#N/A;17
MIR593;#N/A;19.2
MIR597;#N/A;19.2
MIR598;#N/A;18
MIR599;#N/A;14
MIR601;#N/A;19.2
MIR603;#N/A;19.2
MIR604;#N/A;19.2
MIR605;#N/A;19.2
MIR607;#N/A;19.2
MIR6070;#N/A;19.2
MIR6072;#N/A;19.2
MIR6084;#N/A;19.2
MIR609;#N/A;17
MIR610;#N/A;19.2
MIR6124;#N/A;19.2
MIR6125;#N/A;19.1
MIR6128;#N/A;19.2
MIR6129;#N/A;19.2
MIR6133;#N/A;19.2
MIR615;#N/A;17
MIR616;#N/A;17
MIR617;#N/A;19.2
MIR618;#N/A;19.2
MIR621;#N/A;19.2
MIR624;#N/A;19.2
MIR626;#N/A;19.2
MIR627;#N/A;19.2
MIR633;#N/A;19.2
MIR634;#N/A;19.2
MIR635;#N/A;19.2
MIR638;#N/A;19.2
MIR640;#N/A;19.2
MIR643;#N/A;19.2
MIR644A;#N/A;19.2
MIR645;#N/A;19.2
MIR648;#N/A;19.2
MIR649;#N/A;17
MIR6499;#N/A;19.2
MIR6500;#N/A;19.2
MIR6501;#N/A;19.1
MIR6503;#N/A;19.2
MIR6504;#N/A;19.2
MIR6506;#N/A;19.1
MIR651;#N/A;19.2
MIR6510;#N/A;19.2
MIR6511B1;#N/A;19.2
MIR6514;#N/A;19.2
MIR6515;#N/A;19.2
MIR6516;#N/A;19.2
MIR652;#N/A;17
MIR653;#N/A;17
MIR654;#N/A;17
MIR655;#N/A;17
MIR656;#N/A;17
MIR657;#N/A;19.2
MIR660;#N/A;17
MIR661;#N/A;19.2
MIR662;#N/A;17
MIR663B;#N/A;19.2
MIR664A;#N/A;19.2
MIR670;#N/A;19.1
MIR670HG;#N/A;18
MIR6715A;#N/A;19.2
MIR6731;#N/A;19.2
MIR6732;#N/A;19.2
MIR6734;#N/A;19.2
MIR6736;#N/A;19.2
MIR6737;#N/A;19.2
MIR6738;#N/A;19.2
MIR6739;#N/A;19.2
MIR6741;#N/A;19.2
MIR6743;#N/A;19.2
MIR6745;#N/A;19.2
MIR6746;#N/A;19.2
MIR6747;#N/A;19.2
MIR6750;#N/A;19.2
MIR6751;#N/A;19.2
MIR6758;#N/A;19.2
MIR676;#N/A;18
MIR6760;#N/A;19.2
MIR6761;#N/A;19.2
MIR6768;#N/A;19.2
MIR6769A;#N/A;19.2
MIR6769B;#N/A;19.2
MIR6772;#N/A;19.2
MIR6773;#N/A;19.2
MIR6775;#N/A;19.2
MIR6776;#N/A;19.2
MIR6778;#N/A;19.2
MIR6780A;#N/A;19.2
MIR6782;#N/A;19.2
MIR6791;#N/A;19.2
MIR6793;#N/A;19.2
MIR6794;#N/A;19.2
MIR6795;#N/A;19.2
MIR6797;#N/A;19.2
MIR6799;#N/A;19.2
MIR6801;#N/A;19.2
MIR6802;#N/A;19.2
MIR6806;#N/A;19.2
MIR6807;#N/A;19.2
MIR6812;#N/A;19.1
MIR6813;#N/A;19.2
MIR6818;#N/A;19.2
MIR6819;#N/A;19.2
MIR6820;#N/A;19.2
MIR6824;#N/A;19.2
MIR6827;#N/A;19.2
MIR6829;#N/A;19.2
MIR6832;#N/A;19.2
MIR6834;#N/A;19.2
MIR6837;#N/A;19.2
MIR6838;#N/A;19.2
MIR6842;#N/A;19.2
MIR6851;#N/A;19.2
MIR6852;#N/A;19.2
MIR6855;#N/A;19.2
MIR6865;#N/A;19.2
MIR6873;#N/A;19.2
MIR6875;#N/A;19.2
MIR6879;#N/A;19.2
MIR6880;#N/A;19.2
MIR6881;#N/A;19.2
MIR6884;#N/A;19.2
MIR6886;#N/A;19.2
MIR6887;#N/A;19.2
MIR6889;#N/A;19.2
MIR6893;#N/A;19.2
MIR6894;#N/A;19.2
MIR6895;#N/A;19.2
MIR708;#N/A;15.1
MIR7106;#N/A;19.2
MIR7109;#N/A;19.2
MIR7111;#N/A;19.2
MIR7113;#N/A;19.2
MIR7152;#N/A;19.2
MIR7154;#N/A;19.2
MIR7159;#N/A;19.2
MIR7-2;#N/A;10
MIR7-3;#N/A;10
MIR744;#N/A;17
MIR758;#N/A;19.2
MIR759;#N/A;19.1
MIR760;#N/A;17
MIR764;#N/A;17
MIR765;#N/A;19.2
MIR766;#N/A;19.2
MIR767;#N/A;17
MIR769;#N/A;19.2
MIR770;#N/A;18
MIR7702;#N/A;19.2
MIR7703;#N/A;19.2
MIR7704;#N/A;19.2
MIR7705;#N/A;19.2
MIR7848;#N/A;19.2
MIR7850;#N/A;19.1
MIR7853;#N/A;19.2
MIR7855;#N/A;19.2
MIR7856;#N/A;19.2
MIR7976;#N/A;19.2
MIR802;#N/A;15.1
MIR8052;#N/A;19.2
MIR8054;#N/A;19.2
MIR8056;#N/A;19.2
MIR8057;#N/A;19.2
MIR8060;#N/A;19.2
MIR8063;#N/A;19.2
MIR8067;#N/A;19.2
MIR8069-1;#N/A;19.2
MIR8069-2;#N/A;19.2
MIR8073;#N/A;19.2
MIR8075;#N/A;19.2
MIR8076;#N/A;19.2
MIR8080;#N/A;19.2
MIR8081;#N/A;19.2
MIR8082;#N/A;19.2
MIR8087;#N/A;19.2
MIR8089;#N/A;19.2
MIR873;#N/A;15.1
MIR874;#N/A;17
MIR875;#N/A;14
MIR876;#N/A;17
MIR877;#N/A;17
MIR885;#N/A;15.1
MIR887;#N/A;19.2
MIR888;#N/A;19.2
MIR889;#N/A;19.1
MIR890;#N/A;19.2
MIR891A;#N/A;19.2
MIR891B;#N/A;19.2
MIR9-1;12;12
MIR920;#N/A;19.2
MIR93;#N/A;12
MIR9-3;#N/A;12
MIR933;#N/A;19.2
MIR934;#N/A;19.2
MIR935;#N/A;17
MIR938;#N/A;19.2
MIR942;#N/A;19.2
MIR944;#N/A;19.2
MIR95;#N/A;19.1
MIR96;12;12
MIR98;#N/A;12
MIR99A;#N/A;12
MIR99B;#N/A;12
MIRLET7A1;#N/A;12
MIRLET7A2;#N/A;10
MIRLET7BHG;#N/A;19.2
MIRLET7C;#N/A;10
MIRLET7D;#N/A;12
MIRLET7E;#N/A;12
MIRLET7F1;#N/A;12
MIRLET7F2;#N/A;12
MIRLET7G;#N/A;10
MIRLET7I;#N/A;11
MKRN4P;12;12
MMP23A;#N/A;10
MORF4;#N/A;7
MOXD2P;7;12
MPTX1;#N/A;16
MROH3P;#N/A;18
MROH4P;#N/A;18
MROH5;7;15.2
MRRFP1;#N/A;7
MSC-AS1;#N/A;19.2
MSL3P1;7;7
MST1L;12;12
MT1DP;#N/A;12
MT1L;#N/A;12
MT-RNR1;#N/A;18
MT-RNR2;18;18
MTRNR2L2;#N/A;18
MTRNR2L9;#N/A;18
MT-TA;#N/A;19.1
MT-TC;#N/A;18
MT-TD;#N/A;18
MT-TE;#N/A;19.1
MT-TF;#N/A;18
MT-TG;#N/A;18
MT-TH;#N/A;18
MT-TI;#N/A;18
MT-TK;#N/A;18
MT-TL1;#N/A;18
MT-TL2;#N/A;18
MT-TM;#N/A;18
MT-TN;#N/A;18
MT-TP;#N/A;18
MT-TQ;#N/A;18
MT-TR;#N/A;18
MT-TS1;#N/A;18
MT-TS2;#N/A;18
MT-TT;#N/A;18
MT-TV;#N/A;18
MT-TW;#N/A;18
MT-TY;#N/A;18
MUC4;7;13
MUC6;14;14
MYCLP1;#N/A;12
MYH16;#N/A;7
MYL12BP2;#N/A;12
NACAP1;3;3
NAMPTP1;#N/A;12
NANOGP1;#N/A;12
NAP1L6;3;3
NAT8B;12;12
NBEAP1;#N/A;7
NBPF5P;#N/A;15.1
NBPF7;#N/A;17
NBPF8;#N/A;15.1
NCF1B;#N/A;15.1
NCF1C;#N/A;12
NCOR1P1;#N/A;3
NEAT1;18;18
NEPNP;#N/A;18
NME2P1;3;3
NOL4L-DT;#N/A;19.2
NPIPB10P;#N/A;19.2
NPY6R;#N/A;15.1
NR1H5P;#N/A;18
NRADDP;#N/A;18
NRON;#N/A;16
NSUN5P1;3;3
NSUN5P2;3;3
NUDT16P1;#N/A;18
OACYLP;#N/A;18
OASL2P;#N/A;18
OBSCN-AS1;19.1;19.1
OFCC1;12;14
OIP5-AS1;12;12
OLFM5P;18;18
OOSP1;17;17
OR10A6;15.1;15.1
OR10AA1P;#N/A;18
OR10AB1P;#N/A;18
OR10AC1;#N/A;15.1
OR10AK1P;#N/A;18
OR10B1P;#N/A;18
OR10D1P;#N/A;18
OR10D4P;18;18
OR10D5P;#N/A;18
OR10G1P;#N/A;18
OR10J2P;#N/A;18
OR10J4;18;17
OR10J6P;#N/A;12
OR10J7P;#N/A;18
OR10N1P;#N/A;18
OR10Q2P;#N/A;18
OR10U1P;#N/A;18
OR10V2P;#N/A;18
OR11G1P;#N/A;18
OR11H7;18;16
OR11I1P;#N/A;18
OR11M1P;#N/A;18
OR11N1P;#N/A;18
OR11Q1P;#N/A;18
OR12D1;14;14
OR12D3;13;14
OR13C6P;#N/A;17
OR13C7;18;18
OR13D2P;#N/A;18
OR13E1P;#N/A;18
OR13Z1P;#N/A;18
OR13Z2P;#N/A;18
OR14L1P;18;18
OR1AA1P;#N/A;18
OR1D4;#N/A;12
OR1E3;#N/A;18
OR1F12;#N/A;15.2
OR1F2P;18;18
OR1M4P;#N/A;18
OR1P1;18;16
OR1X1P;#N/A;18
OR2A13P;#N/A;18
OR2A20P;#N/A;18
OR2AD1P;#N/A;18
OR2AF1P;#N/A;18
OR2AH1P;#N/A;18
OR2AS2P;#N/A;18
OR2AT1P;#N/A;18
OR2B4P;#N/A;18
OR2B7P;#N/A;18
OR2B8P;#N/A;14
OR2E1P;#N/A;18
OR2G1P;#N/A;18
OR2H4P;#N/A;18
OR2I1P;15.1;15.1
OR2J1;15.1;15.2
OR2N1P;#N/A;18
OR2P1P;#N/A;18
OR2Q1P;#N/A;18
OR2R1P;#N/A;18
OR2T32P;#N/A;18
OR2T7;#N/A;14
OR2W2P;#N/A;18
OR2W4P;#N/A;18
OR2W5;#N/A;10
OR2W6P;18;17
OR3A4P;18;18
OR3D1P;#N/A;18
OR4A11P;#N/A;18
OR4A13P;#N/A;18
OR4A1P;#N/A;18
OR4A2P;#N/A;18
OR4A45P;#N/A;18
OR4A4P;#N/A;15.1
OR4A8;15.1;15.1
OR4C10P;#N/A;18
OR4C1P;#N/A;18
OR4C45;17;17
OR4C48P;#N/A;18
OR4F13P;#N/A;18
OR4F14P;#N/A;18
OR4F1P;#N/A;18
OR4F7P;#N/A;18
OR4G11P;#N/A;18
OR4K11P;#N/A;18
OR4K3;17;17
OR4K6P;#N/A;18
OR4Q2;#N/A;15.2
OR51A10P;#N/A;18
OR51A1P;#N/A;18
OR51A3P;#N/A;18
OR51A5P;#N/A;18
OR51A6P;#N/A;18
OR51A8P;#N/A;18
OR51A9P;#N/A;18
OR51C1P;#N/A;17
OR51C4P;#N/A;18
OR51F4P;#N/A;18
OR51H1;18;15.2
OR51J1;15.1;14
OR51K1P;#N/A;18
OR51P1P;#N/A;18
OR51R1P;#N/A;18
OR52A4P;#N/A;14
OR52B1P;#N/A;16
OR52B3P;#N/A;18
OR52E1;13;15.2
OR52E3P;#N/A;18
OR52E7P;#N/A;18
OR52H2P;#N/A;18
OR52L2P;#N/A;15.2
OR52M2P;#N/A;18
OR52N3P;#N/A;18
OR52P1P;#N/A;15.2
OR52P2P;#N/A;18
OR52S1P;#N/A;18
OR52U1P;#N/A;18
OR52X1P;#N/A;18
OR52Z1;18;17
OR55B1P;#N/A;18
OR56B2P;#N/A;16
OR56B3P;#N/A;17
OR5AC1;18;15.2
OR5AK1P;#N/A;18
OR5AK3P;18;18
OR5AK4P;#N/A;18
OR5AL1;18;17
OR5AL2P;#N/A;18
OR5AN2P;#N/A;18
OR5AQ1P;#N/A;18
OR5B1P;#N/A;18
OR5BB1P;#N/A;18
OR5BC1P;#N/A;18
OR5BE1P;#N/A;18
OR5BH1P;#N/A;18
OR5D17P;#N/A;18
OR5E1P;#N/A;18
OR5G1P;#N/A;18
OR5G3;15.1;15.1
OR5G5P;#N/A;18
OR5H5P;#N/A;18
OR5H8;13;15.2
OR5J1P;#N/A;18
OR5J7P;#N/A;18
OR5M12P;#N/A;18
OR5M13P;#N/A;18
OR5M14P;#N/A;18
OR5M5P;#N/A;18
OR5P1P;#N/A;18
OR5P4P;#N/A;18
OR5S1P;#N/A;18
OR5V1;13;14
OR5W1P;#N/A;18
OR6C5P;#N/A;18
OR6C64P;#N/A;18
OR6C66P;#N/A;18
OR6C69P;#N/A;18
OR6C71P;#N/A;18
OR6C72P;#N/A;18
OR6C7P;#N/A;18
OR6D1P;#N/A;18
OR6E1P;#N/A;18
OR6K4P;#N/A;18
OR6K5P;#N/A;18
OR6L1P;#N/A;18
OR7A1P;#N/A;18
OR7A2P;#N/A;15.1
OR7E110P;#N/A;18
OR7E156P;#N/A;18
OR7E159P;#N/A;18
OR7E25P;#N/A;18
OR7G15P;#N/A;18
OR7H1P;#N/A;18
OR8A3P;#N/A;18
OR8B1P;#N/A;18
OR8B9P;#N/A;18
OR8C1P;#N/A;18
OR8F1P;#N/A;18
OR8G2P;18;18
OR8G3P;#N/A;16
OR8J2;15.1;15.1
OR8K3;17;17
OR8T1P;#N/A;18
OR8V1P;#N/A;18
OR9A1P;18;18
OR9G2P;#N/A;18
OR9G3P;#N/A;18
OR9H1P;#N/A;16
OR9I2P;#N/A;18
OR9K1P;#N/A;18
OR9M1P;#N/A;18
OR9R1P;#N/A;18
OVCH1-AS1;#N/A;19.2
PACRG-AS3;#N/A;19.2
PAPPA-AS1;#N/A;19.2
PATL2;12;12
PAUPAR;18;18
PAX6-AS1;#N/A;7
PAXIP1-AS2;#N/A;19.2
PCAT18;#N/A;14
PCDHB17P;#N/A;15.1
PCDHB18P;#N/A;14
PCDHGB8P;#N/A;18
PCOTH;#N/A;19.2
PDPK2P;3;3
PDXDC2P;#N/A;7
PDZPH1P;#N/A;18
PEG13;#N/A;18
PFN5P;#N/A;18
PHF1;7;10
PI4KAP1;#N/A;3
PI4KAP2;#N/A;3
PIK3CD-AS1;#N/A;19.2
PIN1P1;3;3
PIPSL;3;3
PKD1L2;12;13
PLEKHA8P1;#N/A;12
PLGLA;#N/A;19.2
PLUT;#N/A;18
PMCHL1;12;12
PMCHL2;12;12
PMS2P1;3;3
PMS2P11;#N/A;3
PMS2P2;3;3
PMS2P3;18;18
PMS2P5;#N/A;3
PNLIPRP2;7;16
PNMA6B;#N/A;17
POM121B;#N/A;8
POM121L1P;#N/A;17
POM121L7P;17;17
POTEA;19.2;10
POTEKP;#N/A;8
PPIAP59;#N/A;19.1
PPP1R2P1;12;12
PPP4R1L;7;7
PRAMEF28P;#N/A;19.1
PRKY;7;7
PRORSD1P;12;14
PRR31;#N/A;19.2
PRSS29P;15.1;15.1
PRSS30P;#N/A;18
PRSS44;18;18
PRSS46P;18;17
PSMB1;3;3
PTCHD3;7;7
PTGES2-AS1;#N/A;19.2
PTPRJ-AS1;#N/A;18
PTPRVP;#N/A;18
PTTG3P;#N/A;14
PVT1;18;18
PYY2;#N/A;17
PYY3;12;12
RAB1C;3;3
RAC1P4;#N/A;2
RALGAPA1P1;#N/A;12
REXO1L1P;3;3
REXO1L2P;#N/A;18
RFPL3S;19.2;19.2
RMRP;#N/A;11
RMRPP5;#N/A;11
RMST;#N/A;17
RN7SK;#N/A;14
RN7SKP1;#N/A;17
RN7SKP10;#N/A;18
RN7SKP100;#N/A;16
RN7SKP101;#N/A;17
RN7SKP102;#N/A;18
RN7SKP103;#N/A;17
RN7SKP104;#N/A;15.1
RN7SKP105;#N/A;14
RN7SKP106;#N/A;16
RN7SKP107;#N/A;15.1
RN7SKP108;#N/A;16
RN7SKP109;#N/A;17
RN7SKP11;#N/A;14
RN7SKP110;#N/A;12
RN7SKP111;#N/A;16
RN7SKP112;#N/A;19.2
RN7SKP113;#N/A;16
RN7SKP114;#N/A;16
RN7SKP115;#N/A;17
RN7SKP116;#N/A;13
RN7SKP117;#N/A;16
RN7SKP118;#N/A;12
RN7SKP119;#N/A;16
RN7SKP12;#N/A;15.1
RN7SKP120;#N/A;17
RN7SKP121;#N/A;17
RN7SKP122;#N/A;13
RN7SKP123;#N/A;18
RN7SKP124;#N/A;18
RN7SKP125;#N/A;16
RN7SKP126;#N/A;17
RN7SKP127;#N/A;17
RN7SKP128;#N/A;17
RN7SKP129;#N/A;14
RN7SKP13;#N/A;13
RN7SKP130;#N/A;17
RN7SKP131;#N/A;16
RN7SKP132;#N/A;17
RN7SKP133;#N/A;16
RN7SKP134;#N/A;16
RN7SKP135;#N/A;14
RN7SKP136;#N/A;16
RN7SKP137;#N/A;19.2
RN7SKP139;#N/A;16
RN7SKP14;#N/A;15.1
RN7SKP140;#N/A;18
RN7SKP141;#N/A;16
RN7SKP142;#N/A;16
RN7SKP143;#N/A;18
RN7SKP144;#N/A;17
RN7SKP145;#N/A;19.1
RN7SKP146;#N/A;18
RN7SKP147;#N/A;16
RN7SKP148;#N/A;15.1
RN7SKP149;#N/A;19.1
RN7SKP15;#N/A;16
RN7SKP150;#N/A;17
RN7SKP151;#N/A;18
RN7SKP152;#N/A;17
RN7SKP153;#N/A;17
RN7SKP154;#N/A;17
RN7SKP155;#N/A;13
RN7SKP156;#N/A;12
RN7SKP157;#N/A;14
RN7SKP158;#N/A;17
RN7SKP159;#N/A;16
RN7SKP16;#N/A;16
RN7SKP160;#N/A;12
RN7SKP161;#N/A;17
RN7SKP162;#N/A;18
RN7SKP163;#N/A;17
RN7SKP164;#N/A;12
RN7SKP165;#N/A;16
RN7SKP166;#N/A;16
RN7SKP167;#N/A;16
RN7SKP168;#N/A;17
RN7SKP169;#N/A;16
RN7SKP17;#N/A;14
RN7SKP170;#N/A;18
RN7SKP171;#N/A;17
RN7SKP172;#N/A;14
RN7SKP173;#N/A;16
RN7SKP174;#N/A;15.1
RN7SKP175;#N/A;12
RN7SKP176;#N/A;16
RN7SKP177;#N/A;16
RN7SKP178;#N/A;15.1
RN7SKP179;#N/A;18
RN7SKP18;#N/A;14
RN7SKP180;#N/A;15.1
RN7SKP181;#N/A;12
RN7SKP182;#N/A;17
RN7SKP183;#N/A;14
RN7SKP184;#N/A;18
RN7SKP185;#N/A;12
RN7SKP186;#N/A;17
RN7SKP187;#N/A;15.1
RN7SKP188;#N/A;17
RN7SKP189;#N/A;17
RN7SKP19;#N/A;13
RN7SKP190;#N/A;15.1
RN7SKP191;#N/A;16
RN7SKP192;#N/A;18
RN7SKP193;#N/A;14
RN7SKP194;#N/A;12
RN7SKP195;#N/A;18
RN7SKP196;#N/A;16
RN7SKP197;#N/A;15.1
RN7SKP198;#N/A;18
RN7SKP199;#N/A;17
RN7SKP2;#N/A;15.1
RN7SKP20;#N/A;16
RN7SKP200;#N/A;14
RN7SKP202;#N/A;18
RN7SKP203;#N/A;14
RN7SKP204;#N/A;18
RN7SKP205;#N/A;17
RN7SKP206;#N/A;16
RN7SKP207;#N/A;17
RN7SKP208;#N/A;16
RN7SKP209;#N/A;14
RN7SKP21;#N/A;12
RN7SKP210;#N/A;16
RN7SKP211;#N/A;17
RN7SKP212;#N/A;12
RN7SKP213;#N/A;14
RN7SKP214;#N/A;16
RN7SKP216;#N/A;13
RN7SKP217;#N/A;17
RN7SKP218;#N/A;13
RN7SKP219;#N/A;15.1
