HGNC symbol;MODE;median (nearest phylostratum)
FAM205BP;#N/A;14
FAM220BP;15.1;15.1
FAM25BP;#N/A;15.1
FAM25E;15.1;15.1
FAM27B;#N/A;19.2
FAM27C;#N/A;19.2
FAM30A;#N/A;19.2
FAM45BP;12;12
FAM47DP;#N/A;16
FAM83H-AS1;#N/A;3
FAM86C2P;#N/A;10
FAM86KP;#N/A;19.2
FAM90A10P;#N/A;17
FAM90A12P;#N/A;17
FAM90A13P;#N/A;17
FAM90A14P;#N/A;17
FAM90A15P;#N/A;17
FAM90A16P;#N/A;17
FAM90A17P;#N/A;17
FAM90A18P;#N/A;17
FAM90A19P;#N/A;17
FAM90A20P;#N/A;17
FAM90A22P;#N/A;17
FAM90A23P;#N/A;17
FAM90A24P;#N/A;17
FAM90A27P;#N/A;18
FAM90A2P;#N/A;17
FAM90A5P;#N/A;17
FAM90A7P;#N/A;17
FAM90A8P;#N/A;17
FAM90A9P;#N/A;17
FBXL21;12;12
FCGR1CP;#N/A;17
FCGR2C;#N/A;12
FDPSP1;#N/A;2
FENDRR;18;18
FER1L4;7;7
FIRRE;18;18
FMO6P;13;13
FOLH1B;3;3
FRG1BP;7;7
FRMD8P1;7;7
FRMPD2B;#N/A;7
FTH1P18;#N/A;19.1
FTH1P19;7;7
FTX;18;18
FXYD6P3;12;12
GABARAPL3;3;3
GABPB1-IT1;#N/A;7
GAS5;18;18
GAS8-AS1;#N/A;19.2
GBA3;7;10
GCNT2P;7;7
GCOM2;#N/A;10
GDNF-AS1;#N/A;19.2
GGNBP1;#N/A;16
GGT3P;#N/A;11
GGTA1P;18;18
GJA6P;#N/A;18
GKN3P;15.1;15.1
GLYCAM1;#N/A;18
GMCL2;7;7
GNG5P2;#N/A;12
GNRHR2;7;7
GOLGA2P5;#N/A;17
GOLGA6L3;#N/A;17
GOLGA8CP;#N/A;11
GOLGA8DP;#N/A;11
GOLGA8F;7;14
GOLGA8IP;#N/A;11
GOLGA8M;7;10
GPR32P1;#N/A;12
GPX1;12;12
GSTT2;7;15.1
GUCY1B2;7;7
GUCY2GP;#N/A;18
GULOP;#N/A;18
GUSBP1;#N/A;17
GUSBP11;#N/A;11
GVINP1;13;13
HAR1A;#N/A;14
HCG22;#N/A;12
HILS1;18;18
HIST2H2BC;#N/A;5
HIST2H2BD;#N/A;5
HIST3H2BA;#N/A;18
HLA-H;12;12
HMGB1P1;#N/A;7
HMGN2P46;#N/A;12
HOTAIR;18;18
HOTTIP;18;18
HOXA-AS3;#N/A;18
HSP90AA2P;#N/A;9
HSP90AA4P;3;3
HSP90AA5P;#N/A;10
HSP90AB2P;#N/A;8
HSP90AB3P;3;3
HSP90AB4P;#N/A;8
HSP90B2P;#N/A;15.1
HSPA7;3;3
HTR5A-AS1;#N/A;19.2
IFNG-AS1;18;18
IFNL4;#N/A;16
IGF2BP2-AS1;#N/A;19.2
IGHA1;15.1;15.1
IGHA2;15.1;15.1
IGHD;12;14
IGHE;15.1;15.1
IGHG1;12;13
IGHG2;12;14
IGHG3;12;12
IGHG4;12;13
IGHM;12;12
IGHV1-18;12;12
IGHV1-2;12;12
IGHV1-24;12;13
IGHV1-3;12;12
IGHV1-45;12;12
IGHV1-46;12;12
IGHV1-58;12;12
IGHV1-69;12;14
IGHV1-69-2;12;12
IGHV1-69D;12;12
IGHV1OR15-1;12;12
IGHV1OR15-9;12;12
IGHV1OR21-1;12;15.1
IGHV2-26;12;12
IGHV2-5;12;14
IGHV2-70;14;14
IGHV2-70D;12;12
IGHV2OR16-5;12;12
IGHV3-11;12;12
IGHV3-13;12;12
IGHV3-15;12;12
IGHV3-16;#N/A;14
IGHV3-20;12;12
IGHV3-21;12;12
IGHV3-23;12;12
IGHV3-30;12;12
IGHV3-33;12;12
IGHV3-35;12;13
IGHV3-38;12;12
IGHV3-43;12;12
IGHV3-48;12;12
IGHV3-49;12;13
IGHV3-53;12;12
IGHV3-64;12;12
IGHV3-64D;12;12
IGHV3-66;12;12
IGHV3-7;12;13
IGHV3-72;12;13
IGHV3-73;12;12
IGHV3-74;12;12
IGHV3OR15-7;12;13
IGHV3OR16-10;12;12
IGHV3OR16-12;12;12
IGHV3OR16-13;12;12
IGHV3OR16-8;12;12
IGHV3OR16-9;12;12
IGHV4-28;12;14
IGHV4-31;12;14
IGHV4-34;12;14
IGHV4-39;14;14
IGHV4-4;12;12
IGHV4-59;12;13
IGHV4-61;14;15.1
IGHV4OR15-8;12;13
IGHV5-10-1;12;12
IGHV5-51;12;12
IGHV6-1;12;12
IGHV7-4-1;12;12
IGHV7-81;12;12
IGKC;12;12
IGKV1-12;12;12
IGKV1-16;12;12
IGKV1-17;18;17
IGKV1-27;12;12
IGKV1-33;17;17
IGKV1-37;12;12
IGKV1-39;17;16
IGKV1-5;12;12
IGKV1-6;12;15.1
IGKV1-8;12;12
IGKV1-9;17;17
IGKV1D-12;12;12
IGKV1D-13;12;12
IGKV1D-16;17;17
IGKV1D-17;18;17
IGKV1D-33;17;17
IGKV1D-37;12;15.1
IGKV1D-39;17;17
IGKV1D-42;17;17
IGKV1D-43;17;17
IGKV1D-8;17;17
IGKV1OR2-108;12;12
IGKV1OR2-118;#N/A;17
IGKV2-24;17;15.1
IGKV2-28;13;14
IGKV2-29;#N/A;12
IGKV2-30;17;15.2
IGKV2-40;#N/A;13
IGKV2D-24;17;15.1
IGKV2D-26;#N/A;15.1
IGKV2D-28;13;15.1
IGKV2D-29;19.2;16
IGKV2D-30;17;15.2
IGKV2D-40;17;15.2
IGKV3-11;12;15.2
IGKV3-15;12;13
IGKV3-20;12;14
IGKV3-7;12;12
IGKV3D-11;12;12
IGKV3D-15;12;13
IGKV3D-20;12;12
IGKV3D-7;15.2;15.2
IGKV3OR2-268;#N/A;13
IGKV4-1;12;14
IGKV5-2;12;12
IGKV6-21;12;13
IGKV6D-21;12;15.1
IGKV6D-41;13;13
IGLC1;12;13
IGLC2;12;12
IGLC3;12;12
IGLC6;#N/A;14
IGLC7;12;13
IGLV10-54;14;14
IGLV11-55;12;13
IGLV1-36;13;13
IGLV1-40;13;14
IGLV1-44;13;14
IGLV1-47;13;14
IGLV1-50;13;13
IGLV1-51;13;14
IGLV2-11;13;13
IGLV2-14;13;13
IGLV2-18;13;14
IGLV2-23;13;13
IGLV2-33;13;13
IGLV2-8;#N/A;13
IGLV3-1;13;13
IGLV3-10;13;13
IGLV3-12;13;13
IGLV3-16;13;14
IGLV3-19;14;14
IGLV3-21;13;13
IGLV3-22;12;13
IGLV3-25;14;14
IGLV3-27;14;14
IGLV3-32;13;13
IGLV3-9;13;13
IGLV4-3;14;14
IGLV4-60;14;14
IGLV4-69;14;14
IGLV5-37;13;13
IGLV5-45;13;13
IGLV5-48;13;13
IGLV5-52;13;13
IGLV6-57;12;14
IGLV7-43;13;14
IGLV7-46;13;14
IGLV8-61;13;14
IGLV9-49;14;13
IQANK1;18;18
IRS3P;#N/A;18
JPX;18;18
KANTR;18;18
KBTBD11-OT1;#N/A;12
KCNQ1OT1;#N/A;18
KIAA0087;#N/A;19.2
KIF28P;7;13
KIFC1;7;7
KIR2DS4;13;14
KIR3DP1;#N/A;13
KRT87P;#N/A;15.1
KRT90P;#N/A;18
LCN1P1;#N/A;15.1
LINC00269;#N/A;19.1
LINC00336;#N/A;19.1
LINC00452;19.2;19.2
LINC00461;18;18
LINC00596;#N/A;17
LINC00599;#N/A;10
LINC00632;#N/A;19.2
LINC00634;#N/A;18
LINC00643;#N/A;16
LINC00692;#N/A;19.2
LINC00694;#N/A;18
LINC00869;#N/A;10
LINC00910;#N/A;15.1
LINC00955;#N/A;19.2
LINC01089;#N/A;12
LINC01098;#N/A;19.2
LINC01100;#N/A;19.2
LINC01118;#N/A;19.2
LINC01119;#N/A;19.2
LINC01124;#N/A;19.2
LINC01158;18;18
LINC01170;#N/A;18
LINC01225;#N/A;18
LINC01387;#N/A;19.2
LINC01460;#N/A;19.2
LINC01465;#N/A;19.1
LINC01545;#N/A;19.2
LINC01546;#N/A;19.2
LINC01547;#N/A;19.2
LINC01548;#N/A;19.2
LINC01549;#N/A;19.2
LINC01553;#N/A;19.2
LINC01554;#N/A;19.2
LINC01555;#N/A;19.2
LINC01556;#N/A;19.2
LINC01558;#N/A;19.2
LINC01559;#N/A;19.2
LINC01560;#N/A;19.2
LINC01561;#N/A;19.2
LINC01565;19.2;19.2
LINC01587;#N/A;19.2
LINC01588;#N/A;19.2
LINC01600;19.2;19.2
LINC01619;19.2;19.2
LINC01620;19.2;19.2
LINC01621;#N/A;19.2
LINC01644;#N/A;19.2
LINC01660;#N/A;13
LINC01662;#N/A;16
LINC01664;#N/A;19.2
LINC01750;19.2;19.2
LINC01783;#N/A;10
LINC01848;#N/A;19.2
LINC01921;#N/A;19.2
LINC01948;#N/A;19.2
LINC01949;#N/A;19.2
LINC01960;#N/A;19.2
LINC01998;#N/A;19.2
LINC02054;#N/A;19.2
LINC02108;#N/A;19.2
LINC02118;#N/A;19.2
LINC02167;#N/A;14
LINC02198;#N/A;18
LINC02203;#N/A;14
LINC02210-CRHR1;#N/A;7
LINC02213;#N/A;19.2
LINC02219;#N/A;19.2
LINC02272;#N/A;19.2
LINC02410;#N/A;19.2
LINC02448;#N/A;19.2
LINC02478;#N/A;12
LINC-PINT;18;18
LOH12CR2;#N/A;19.2
LPAL2;#N/A;12
LPCAT2BP;#N/A;18
LRRC37A5P;#N/A;17
LRRC77P;#N/A;18
LSP1P1;#N/A;12
LZTS1-AS1;#N/A;17
MAGEA13P;#N/A;11
MAGEA5;#N/A;7
MALAT1;18;18
MAP1LC3BP1;#N/A;19.1
MAP3K14;12;13
MAPK4;12;12
MBL1P;#N/A;18
MCTS2P;18;18
MDS2;19.2;19.2
MEG3;18;18
MEG8;#N/A;18
MEIOB;7;7
MEIS3P1;#N/A;5
MEIS3P2;#N/A;5
METTL15P1;7;7
METTL21EP;3;9
MFSD13B;#N/A;18
MGAT4EP;#N/A;12
MIAT;18;18
MIF-AS1;#N/A;19.2
MIR100;#N/A;12
MIR101-1;#N/A;12
MIR101-2;#N/A;12
MIR103A1;#N/A;12
MIR103A2;#N/A;12
MIR105-1;#N/A;17
MIR105-2;#N/A;17
MIR106B;#N/A;12
MIR107;12;12
MIR10B;12;12
MIR1-1;#N/A;12
MIR1179;#N/A;19.1
MIR1180;#N/A;17
MIR1182;#N/A;19.2
MIR1183;#N/A;19.2
MIR1184-1;#N/A;19.1
MIR1184-2;#N/A;19.1
MIR1184-3;#N/A;19.1
MIR1185-1;#N/A;17
